time,upstream_reservoir_water_level,upstream_reservoir_outflow,upstream_reservoir_volume,upstream_reservoir_inflow,gate_1_opening,gate_1_outflow,canal_1_water_level,canal_1_outflow,canal_2_water_level,canal_2_outflow,gate_2_opening,gate_2_outflow,canal_3_water_level,canal_3_outflow
4490,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4500,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4510,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4520,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4530,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4540,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4550,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4560,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4570,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4580,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4590,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4600,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4610,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4620,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4630,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4640,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4650,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4660,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4670,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4680,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4690,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4700,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4710,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4720,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4730,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4740,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4750,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4760,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4770,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4780,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4790,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4800,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4810,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4820,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4830,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4840,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4850,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4860,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4870,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4880,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4890,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4900,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4910,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4920,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4930,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4940,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4950,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4960,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4970,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4980,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
4990,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5000,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5010,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5020,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5030,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5040,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5050,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5060,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5070,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5080,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
5090,10.0,0.0,0,0.0,0.5,0.0,14.577037529568678,0.0,26.160581711637153,0.0,0.5,0.0,33.184896365233264,0.0
